iter	Passed	Remaining
0	0	77
1	1	66
2	1	63
3	2	57
4	2	54
5	3	54
6	4	56
7	4	55
8	5	53
9	5	51
10	6	50
11	6	49
12	7	48
13	7	48
14	8	47
15	8	46
16	9	47
17	11	53
18	12	52
19	12	51
20	13	50
21	13	49
22	14	48
23	15	48
24	15	47
25	16	46
26	17	46
27	17	45
28	18	44
29	18	43
30	19	42
31	19	41
32	20	41
33	20	40
34	21	39
35	21	38
36	22	37
37	22	37
38	23	36
39	24	36
40	24	35
41	24	34
42	26	34
43	26	34
44	27	33
45	27	32
46	28	31
47	28	31
48	29	30
49	30	30
50	31	29
51	31	29
52	32	28
53	32	27
54	33	27
55	33	26
56	34	25
57	34	25
58	35	24
59	36	24
60	37	23
61	38	23
62	38	22
63	39	22
64	40	21
65	41	21
66	42	20
67	43	20
68	43	19
69	44	18
70	44	18
71	54	21
72	57	21
73	57	20
74	58	19
75	59	18
76	59	17
77	60	17
78	61	16
79	61	15
80	62	14
81	63	13
82	63	13
83	64	12
84	64	11
85	65	10
86	66	9
87	66	9
88	67	8
89	67	7
90	69	6
91	69	6
92	70	5
93	71	4
94	71	3
95	72	3
96	73	2
97	73	1
98	74	0
99	74	0
