mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.016221046447753906,0.007239659680495521,0.001999060312906901,4.673382577256888e-06,0.1,8,"{'learning_rate': 0.1, 'n_estimators': 8}",0.6583569674829389,0.6237961999829504,0.6505432191217504,0.6442321288625465,0.014798289489936058,12
0.00997773806254069,0.0014298827635266654,0.0014541943868001301,0.0004109781400638881,0.1,16,"{'learning_rate': 0.1, 'n_estimators': 16}",0.8070194432332152,0.7601265300526966,0.7929841228461464,0.7867100320440193,0.01965128474483563,9
0.01546462376912435,0.0002620472426803145,0.0020392735799153647,0.0007584384514081852,0.1,32,"{'learning_rate': 0.1, 'n_estimators': 32}",0.8415287168612025,0.7936835309522632,0.8337453431893604,0.8229858636676086,0.020962112701244064,2
0.03122401237487793,0.0024137493729763856,0.0019963582356770835,4.16304297565104e-06,0.1,64,"{'learning_rate': 0.1, 'n_estimators': 64}",0.8358399697981721,0.7935603517579525,0.832700072325317,0.8207001312938139,0.019233485799101873,4
0.05074922243754069,0.003811662029361288,0.0022897720336914062,0.00041355890911859536,0.1,128,"{'learning_rate': 0.1, 'n_estimators': 128}",0.8288974098540873,0.7842583369863698,0.8295396473380603,0.8142317980595059,0.021196059284271908,7
0.09397077560424805,0.007921603374650695,0.002160787582397461,0.00036844678865698285,0.1,256,"{'learning_rate': 0.1, 'n_estimators': 256}",0.8211980385419623,0.7768050680325072,0.8213961411974076,0.8064664159239591,0.02097389616036761,8
0.006253878275553386,0.0003505496042215244,0.0020024776458740234,1.9466795466607238e-07,0.01,8,"{'learning_rate': 0.01, 'n_estimators': 8}",0.1118483820686178,0.1083298048272231,0.1141808034792341,0.11145299679169167,0.00240496617361743,20
0.014234066009521484,0.0026593838516605884,0.0013353029886881511,0.0009442018183075941,0.01,16,"{'learning_rate': 0.01, 'n_estimators': 16}",0.20942495055464616,0.20121791246925547,0.21249875581850453,0.2077138729474687,0.004761666137037346,18
0.019887844721476238,0.00528082296757144,0.0016669432322184246,0.0004741807829915488,0.01,32,"{'learning_rate': 0.01, 'n_estimators': 32}",0.3666172246138274,0.3520347042626203,0.369713898164453,0.3627886090136336,0.007708531953413065,16
0.024803876876831055,0.0018524710271340993,0.0020019213358561196,6.836513890459241e-07,0.01,64,"{'learning_rate': 0.01, 'n_estimators': 64}",0.5756096075828041,0.5457287410457291,0.5767513181410546,0.566029888923196,0.014362644362066189,14
0.07711299260457356,0.03116107580395267,0.0024736722310384116,0.0006667074023640501,0.01,128,"{'learning_rate': 0.01, 'n_estimators': 128}",0.7654513233632261,0.7170460301786798,0.7542799116699291,0.7455924217372784,0.02069416122272014,11
0.1615277131398519,0.055726885448766916,0.002003908157348633,7.018852922382233e-07,0.01,256,"{'learning_rate': 0.01, 'n_estimators': 256}",0.8382211950322379,0.7887898329383006,0.8292759315321718,0.8187623198342369,0.02150607530934305,5
0.007660786310831706,0.00131697454269777,0.0013349850972493489,0.0009439770953372635,0.05,8,"{'learning_rate': 0.05, 'n_estimators': 8}",0.43594022715041114,0.4187589224078253,0.4374535573530549,0.4307175689704305,0.00847857939289908,15
0.009337504704793295,0.0009616797997069706,0.0020026365915934243,9.199648620915593e-07,0.05,16,"{'learning_rate': 0.05, 'n_estimators': 16}",0.6495104857503071,0.612453720192963,0.6473672856551691,0.6364438305328131,0.016986119279195525,13
0.017901897430419922,0.001991463061840122,0.002669811248779297,0.0009445952139593152,0.05,32,"{'learning_rate': 0.05, 'n_estimators': 32}",0.8057734120258487,0.7543357556138695,0.7910635603546918,0.7837242426648033,0.021631108962233705,10
0.04830543200174967,0.012766130339798913,0.003445227940877279,0.0010567169807356035,0.05,64,"{'learning_rate': 0.05, 'n_estimators': 64}",0.8430452685734411,0.7969053669545363,0.8344018127295794,0.8247841494191857,0.02002660257448618,1
0.07698313395182292,0.01121712348917692,0.002870798110961914,0.0013265049391438307,0.05,128,"{'learning_rate': 0.05, 'n_estimators': 128}",0.8366199101704754,0.7991139696055536,0.8317157421553767,0.8224832073104685,0.016645393139678707,3
0.13416290283203125,0.006908558388536259,0.0032641092936197915,0.0007019971080563566,0.05,256,"{'learning_rate': 0.05, 'n_estimators': 256}",0.8306831010508546,0.7893473112241748,0.8265691570785701,0.8155331897845333,0.01859222616642329,6
0.008355379104614258,0.0017444450888933916,0.0023256937662760415,0.0004700778604684559,0.001,8,"{'learning_rate': 0.001, 'n_estimators': 8}",0.010903429731817127,0.008808147308623226,0.011796567201199482,0.010502714747213279,0.0012524889188467673,24
0.012486139933268229,0.0009334137071834725,0.0018725395202636719,0.0006715934687496748,0.001,16,"{'learning_rate': 0.001, 'n_estimators': 16}",0.022769988871416347,0.020355585478560312,0.023797846216145113,0.022307806855373924,0.0014427979549805866,23
0.056177775065104164,0.02375905441541847,0.007069826126098633,0.0026764885618489518,0.001,32,"{'learning_rate': 0.001, 'n_estimators': 32}",0.04590438049988421,0.04330012781634707,0.047327734185217074,0.045510747500482784,0.0016676557337180207,22
0.040283203125,0.010437194181946496,0.0031898816426595054,0.0010206180089653467,0.001,64,"{'learning_rate': 0.001, 'n_estimators': 64}",0.09013668235425087,0.08702322752310787,0.09230950227597201,0.08982313738444359,0.002169471214645141,21
0.08253741264343262,0.01378773141988005,0.002666632334391276,0.0009456709035679268,0.001,128,"{'learning_rate': 0.001, 'n_estimators': 128}",0.1714508316848009,0.16551501810427893,0.1743682702459095,0.17044470667832978,0.0036836787787307116,19
0.2063443660736084,0.08663377969838985,0.002963463465372721,0.0006810375508211389,0.001,256,"{'learning_rate': 0.001, 'n_estimators': 256}",0.30778342274076187,0.29656546294353225,0.3115933766240536,0.30531408743611593,0.006378754321045162,17
