mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.01408537228902181,0.003356401141688448,0.0005323092142740885,0.000752798910202582,0.1,8,0.6,"{'learning_rate': 0.1, 'n_estimators': 8, 'subsample': 0.6}",0.6443204837189456,0.6104686503707815,0.6211449671463964,0.6253113670787078,0.01413048292533892,68
0.010870536168416342,0.01037617568892117,0.0,0.0,0.1,8,0.7,"{'learning_rate': 0.1, 'n_estimators': 8, 'subsample': 0.7}",0.644647141377444,0.6213672338386124,0.6171282963951568,0.6277142238704044,0.012097793714490263,67
0.010869264602661133,0.007695868361151414,0.00037217140197753906,0.0005263298442040446,0.1,8,0.75,"{'learning_rate': 0.1, 'n_estimators': 8, 'subsample': 0.75}",0.6456903601702271,0.6039157184654333,0.6134893445270917,0.6210318077209174,0.017868906619481675,70
0.006361643473307292,0.008996722478933454,0.0,0.0,0.1,8,0.8,"{'learning_rate': 0.1, 'n_estimators': 8, 'subsample': 0.8}",0.6308735921992332,0.6177663737115342,0.6085756553457391,0.6190718737521689,0.009149781226808129,73
0.011824528376261393,0.006313860706726475,0.0013688405354817708,0.00045137535415359345,0.1,8,0.85,"{'learning_rate': 0.1, 'n_estimators': 8, 'subsample': 0.85}",0.6301192251899987,0.6091905446927643,0.6194897129678454,0.6195998276168695,0.008544452811260147,72
0.008801539738972982,0.007892198967247261,0.0007506211598714193,0.0010615386244943843,0.1,8,0.9,"{'learning_rate': 0.1, 'n_estimators': 8, 'subsample': 0.9}",0.6432828030823692,0.6080117672952404,0.6207243002953553,0.6240062902243216,0.014585154205437956,69
0.013806502024332682,0.0036534505112292533,0.0016113917032877605,0.0022788520010850327,0.1,16,0.6,"{'learning_rate': 0.1, 'n_estimators': 16, 'subsample': 0.6}",0.7903107714996237,0.7639286739950687,0.7784363307923686,0.777558592095687,0.010788314236546291,55
0.01351769765218099,0.00041836663164828314,0.0013809998830159504,0.0004801964184200252,0.1,16,0.7,"{'learning_rate': 0.1, 'n_estimators': 16, 'subsample': 0.7}",0.7913449278107378,0.7649687457877564,0.7841060211758294,0.7801398982581079,0.011127244126503767,51
0.016843159993489582,0.011682271048847314,0.0,0.0,0.1,16,0.75,"{'learning_rate': 0.1, 'n_estimators': 16, 'subsample': 0.75}",0.7908322568618733,0.7693215986435471,0.781009914256819,0.7803879232540799,0.008792696167919811,49
0.015924851099650066,0.00018765994195437614,0.0006683667500813802,0.0009452133226043168,0.1,16,0.8,"{'learning_rate': 0.1, 'n_estimators': 16, 'subsample': 0.8}",0.7984667859271912,0.7648047655031804,0.7778600348787167,0.7803771954363627,0.013857247867965623,50
0.010077714920043945,0.0071744614447776635,0.005240043004353841,0.007410539884175462,0.1,16,0.85,"{'learning_rate': 0.1, 'n_estimators': 16, 'subsample': 0.85}",0.7883869397460601,0.7693868523478151,0.7797242454300968,0.7791660125079907,0.0077667903401482125,53
0.015401999155680338,0.0011568388906538895,0.0,0.0,0.1,16,0.9,"{'learning_rate': 0.1, 'n_estimators': 16, 'subsample': 0.9}",0.788760129067382,0.766172280372963,0.7771632018059209,0.7773652037487553,0.009222556794771289,57
0.021718184153238933,0.005490265606054303,0.0,0.0,0.1,32,0.6,"{'learning_rate': 0.1, 'n_estimators': 32, 'subsample': 0.6}",0.8451343292454822,0.8248632836510889,0.8412829461887088,0.8370935196950932,0.008789853739076998,36
0.03248985608418783,0.004837835646176183,0.0006680488586425781,0.0009447637562202007,0.1,32,0.7,"{'learning_rate': 0.1, 'n_estimators': 32, 'subsample': 0.7}",0.8479921361595106,0.8268632862790286,0.8391472108581376,0.838000877765559,0.00866381878801498,34
0.03845461209615072,0.0032458475251576136,0.001758257548014323,0.001276089801063129,0.1,32,0.75,"{'learning_rate': 0.1, 'n_estimators': 32, 'subsample': 0.75}",0.8537252817611597,0.8312571799090471,0.8428655535921179,0.8426160050874415,0.009174261316362776,24
0.040125131607055664,0.010261507461540467,0.0017364025115966797,0.0003826934339906309,0.1,32,0.8,"{'learning_rate': 0.1, 'n_estimators': 32, 'subsample': 0.8}",0.8512723974909413,0.8297427692077334,0.8431550759571956,0.8413900808852901,0.008877598369159861,26
0.039846579233805336,0.008829830932911816,0.0014185905456542969,0.001362155973071166,0.1,32,0.85,"{'learning_rate': 0.1, 'n_estimators': 32, 'subsample': 0.85}",0.8466404714733589,0.8239073043933118,0.8424929353364012,0.8376802370676906,0.009885031439557856,35
0.037516276041666664,0.00675450295962265,0.0010353724161783855,3.511063811580351e-05,0.1,32,0.9,"{'learning_rate': 0.1, 'n_estimators': 32, 'subsample': 0.9}",0.8501769249659867,0.8260758858336467,0.8402052271034738,0.8388193459677025,0.009887888945793306,32
0.053679307301839195,0.0022209678834839556,0.00033219655354817707,0.00046979687140143216,0.1,64,0.6,"{'learning_rate': 0.1, 'n_estimators': 64, 'subsample': 0.6}",0.8552089794897964,0.8313626782962038,0.8564799398148295,0.8476838658669431,0.011552480478996596,11
0.0819401741027832,0.0127322114295719,0.0025125344594319663,0.002084983604566232,0.1,64,0.7,"{'learning_rate': 0.1, 'n_estimators': 64, 'subsample': 0.7}",0.8540424632389813,0.8316598620135172,0.8584723710309166,0.8480582320944716,0.011735584824092917,10
0.08854516347249348,0.007528711765605204,0.0,0.0,0.1,64,0.75,"{'learning_rate': 0.1, 'n_estimators': 64, 'subsample': 0.75}",0.8627607708881947,0.8274350775611605,0.8510466966850354,0.8470808483781301,0.014691769052862074,14
0.07583268483479817,0.013940096417770376,0.0017463366190592449,0.0005261974680329531,0.1,64,0.8,"{'learning_rate': 0.1, 'n_estimators': 64, 'subsample': 0.8}",0.8573130087036234,0.8302888147880816,0.8565732804009263,0.8480583679642105,0.012568600148780966,9
0.07188185056050618,0.007248794019212049,0.0010401407877604167,3.606632131877348e-05,0.1,64,0.85,"{'learning_rate': 0.1, 'n_estimators': 64, 'subsample': 0.85}",0.8601627171178553,0.8309412997327515,0.8575593308385933,0.8495544492297333,0.013204327716762875,4
0.08983834584554036,0.007183513331944252,0.007279713948567708,0.005356304894123873,0.1,64,0.9,"{'learning_rate': 0.1, 'n_estimators': 64, 'subsample': 0.9}",0.8560658623892767,0.8327647130445567,0.8521811086783386,0.8470038947040573,0.010192760456907864,15
0.15764872233072916,0.03743737246139793,0.002223412195841471,0.0002784598587341156,0.1,128,0.6,"{'learning_rate': 0.1, 'n_estimators': 128, 'subsample': 0.6}",0.8530228771767302,0.8187334298994657,0.8464261824797461,0.839394163185314,0.014855493263728488,30
0.117401917775472,0.006568805358376788,0.001339276631673177,0.00047605849638558754,0.1,128,0.7,"{'learning_rate': 0.1, 'n_estimators': 128, 'subsample': 0.7}",0.8523265644547561,0.8275765159164048,0.8515604901086806,0.8438211901599472,0.011490976124334414,21
0.11371850967407227,0.008790896511810009,0.0017594496409098308,0.0005374816188768,0.1,128,0.75,"{'learning_rate': 0.1, 'n_estimators': 128, 'subsample': 0.75}",0.8554775828267737,0.8213402873126113,0.8538239957071357,0.843547288615507,0.01571722553422757,22
0.14730286598205566,0.02419565100266385,0.000579675038655599,0.0008197843014358962,0.1,128,0.8,"{'learning_rate': 0.1, 'n_estimators': 128, 'subsample': 0.8}",0.8564215694274383,0.8232118294435887,0.857463688218451,0.845699029029826,0.0159065418788853,17
0.12308351198832194,0.0021955701391081182,0.002188444137573242,0.0004688776413351445,0.1,128,0.85,"{'learning_rate': 0.1, 'n_estimators': 128, 'subsample': 0.85}",0.8552218312189149,0.8280997713394376,0.8536552385714562,0.8456589470432695,0.012432673128476186,18
0.12358427047729492,0.00999267056171312,0.0006849765777587891,0.0009687031661743884,0.1,128,0.9,"{'learning_rate': 0.1, 'n_estimators': 128, 'subsample': 0.9}",0.8530469793483773,0.8239003643784403,0.8525778394156031,0.8431750610474734,0.013630614362078769,23
0.31069358189900714,0.01849847899171818,0.00389862060546875,0.0035048388126820503,0.1,256,0.6,"{'learning_rate': 0.1, 'n_estimators': 256, 'subsample': 0.6}",0.8480316917489703,0.8092991329150535,0.8364326838394551,0.831254502834493,0.016230895381870128,41
0.3391098976135254,0.02073054923843388,0.0010479291280110676,0.0008695097650610301,0.1,256,0.7,"{'learning_rate': 0.1, 'n_estimators': 256, 'subsample': 0.7}",0.8501062848857781,0.806178836255032,0.844192660903788,0.833492594014866,0.019464048214974255,38
0.24144776662190756,0.04014812071054095,0.0013442039489746094,0.0009505435895240454,0.1,256,0.75,"{'learning_rate': 0.1, 'n_estimators': 256, 'subsample': 0.75}",0.8439520700533816,0.8083636753756887,0.8400149806320201,0.8307769086870301,0.015929844922438693,42
0.22373572985331217,0.008453767599073292,0.0,0.0,0.1,256,0.8,"{'learning_rate': 0.1, 'n_estimators': 256, 'subsample': 0.8}",0.8480735179740335,0.8081990029683355,0.8426490630834479,0.832973861341939,0.017657885552713325,39
0.21947805086771646,0.011581831445855497,0.005179007848103841,0.0059579425764219535,0.1,256,0.85,"{'learning_rate': 0.1, 'n_estimators': 256, 'subsample': 0.85}",0.8487752084412907,0.8158025296074322,0.8381186730078314,0.8342321370188515,0.013738710731977329,37
0.21991507212320963,0.00396115920794881,0.0,0.0,0.1,256,0.9,"{'learning_rate': 0.1, 'n_estimators': 256, 'subsample': 0.9}",0.8409712571618454,0.8124874124418,0.8413908220435855,0.8316164972157436,0.013527390038708845,40
0.009185314178466797,0.006752354077674896,0.0,0.0,0.01,8,0.6,"{'learning_rate': 0.01, 'n_estimators': 8, 'subsample': 0.6}",0.1110913496043674,0.1018128186449363,0.10244072077566824,0.10511496300832397,0.004233710967183125,115
0.010450442632039389,0.007389640057575146,0.0,0.0,0.01,8,0.7,"{'learning_rate': 0.01, 'n_estimators': 8, 'subsample': 0.7}",0.10852472568713833,0.09689557320891062,0.10378612860612768,0.10306880916739221,0.004774599963931237,116
0.009534915288289389,0.009236266530963037,0.0007300376892089844,0.0005162163991174757,0.01,8,0.75,"{'learning_rate': 0.01, 'n_estimators': 8, 'subsample': 0.75}",0.10551185227947846,0.09690232211226424,0.10381585350430256,0.10207667596534842,0.00372375762808169,120
0.007875998814900717,0.0005167014990680166,0.0013857682545979817,0.00043624799084515236,0.01,8,0.8,"{'learning_rate': 0.01, 'n_estimators': 8, 'subsample': 0.8}",0.10691908733594935,0.09825273341174734,0.10334015578664602,0.10283732551144757,0.0035558450752833236,117
0.003898779551188151,0.0027645071452619937,0.0,0.0,0.01,8,0.85,"{'learning_rate': 0.01, 'n_estimators': 8, 'subsample': 0.85}",0.10527212850836354,0.09876141858944432,0.10249004189573974,0.10217452966451586,0.002667332861132656,119
0.014163732528686523,0.010526898556873878,0.0,0.0,0.01,8,0.9,"{'learning_rate': 0.01, 'n_estimators': 8, 'subsample': 0.9}",0.10507285978962688,0.09909973917502757,0.10354188248405227,0.10257149381623558,0.002533217071118347,118
