iter	Passed	Remaining
0	141	141146
1	142	70898
2	142	47465
3	143	35745
4	144	28704
5	144	24019
6	146	20838
7	147	18313
8	148	16372
9	149	14786
10	150	13513
11	152	12541
12	154	11737
13	157	11079
14	159	10468
15	160	9849
16	160	9300
17	161	8810
18	162	8376
19	164	8052
20	165	7694
21	165	7372
22	166	7075
23	167	6824
24	170	6643
25	171	6413
26	172	6202
27	173	6006
28	175	5859
29	176	5693
30	177	5536
31	178	5403
32	192	5630
33	193	5484
34	194	5350
35	196	5274
36	203	5284
37	204	5169
38	205	5055
39	206	4954
40	207	4849
41	208	4749
42	210	4685
43	211	4590
44	211	4498
45	212	4408
46	213	4322
47	216	4290
48	217	4212
49	217	4136
50	218	4063
51	218	3992
52	219	3924
53	220	3859
54	221	3797
55	221	3737
56	222	3678
57	223	3622
58	223	3567
59	224	3513
60	224	3462
61	225	3412
62	226	3366
63	227	3322
64	227	3279
65	228	3237
66	229	3198
67	232	3181
68	233	3143
69	233	3106
70	234	3068
71	235	3030
72	241	3063
73	241	3028
74	242	2992
75	243	2958
76	243	2924
77	244	2892
78	245	2860
79	247	2844
80	248	2813
81	248	2783
82	248	2750
83	249	2721
84	250	2692
85	250	2665
86	265	2787
87	270	2807
88	271	2782
89	272	2755
90	273	2729
91	273	2702
92	274	2676
93	275	2651
94	275	2626
95	284	2675
96	284	2652
97	285	2628
98	286	2604
99	286	2582
100	287	2559
101	288	2536
102	288	2514
103	289	2492
104	289	2471
105	290	2450
106	291	2429
107	291	2409
108	292	2389
109	292	2369
110	293	2353
111	294	2334
112	295	2316
113	295	2297
114	296	2279
115	296	2262
116	297	2243
117	298	2228
118	298	2212
119	299	2196
120	300	2180
121	300	2164
122	301	2148
123	301	2133
124	302	2118
125	303	2103
126	303	2087
127	304	2073
128	305	2059
129	305	2046
130	306	2034
131	308	2030
132	309	2016
133	310	2004
134	310	1991
135	311	1979
136	312	1966
137	313	1955
138	313	1943
139	314	1931
140	315	1919
141	315	1906
142	316	1895
143	316	1883
144	317	1871
145	318	1860
146	318	1849
147	319	1840
148	320	1829
149	320	1818
150	321	1808
151	322	1797
152	323	1793
153	324	1783
154	325	1773
155	325	1763
156	326	1754
157	327	1744
158	328	1734
159	328	1725
160	328	1714
161	329	1704
162	330	1695
163	330	1686
164	331	1677
165	332	1669
166	332	1660
167	333	1652
168	334	1643
169	334	1634
170	335	1625
171	335	1617
172	336	1608
173	337	1600
174	339	1601
175	340	1596
176	341	1589
177	342	1581
178	343	1574
179	344	1567
180	345	1561
181	346	1555
182	348	1556
183	349	1549
184	350	1542
185	350	1534
186	351	1527
187	352	1521
188	353	1518
189	375	1598
190	375	1592
191	376	1584
192	377	1578
193	408	1698
194	409	1691
195	410	1683
196	411	1676
197	412	1668
198	413	1662
199	413	1655
200	414	1649
201	415	1643
202	416	1636
203	417	1629
204	418	1623
205	419	1616
206	420	1609
207	420	1602
208	421	1596
209	422	1589
210	423	1582
211	425	1579
212	426	1574
213	426	1568
214	427	1561
215	428	1555
216	429	1549
217	430	1545
218	431	1538
219	432	1532
220	433	1526
221	433	1520
222	434	1514
223	435	1507
224	436	1502
225	437	1497
226	438	1491
227	438	1486
228	450	1516
229	452	1516
230	453	1510
231	454	1504
232	455	1498
233	456	1493
234	457	1488
235	457	1482
236	458	1476
237	459	1471
238	460	1465
239	460	1459
240	461	1454
241	462	1448
242	463	1443
243	464	1438
244	467	1442
245	470	1443
246	472	1439
247	479	1453
248	480	1448
249	481	1443
250	482	1438
251	482	1433
252	483	1428
253	487	1432
254	488	1427
255	489	1422
256	490	1418
257	491	1413
258	492	1408
259	493	1403
260	494	1398
261	495	1395
262	495	1389
263	496	1384
264	497	1378
265	497	1373
266	498	1368
267	498	1362
268	500	1360
269	502	1357
270	502	1352
271	503	1347
272	504	1342
273	504	1337
274	505	1333
275	507	1330
276	508	1326
277	508	1321
278	509	1316
279	510	1312
280	510	1307
281	511	1302
282	512	1297
283	513	1293
284	513	1289
285	515	1287
286	517	1284
287	517	1280
288	518	1276
289	519	1272
290	523	1275
291	524	1270
292	524	1266
293	525	1262
294	526	1258
295	527	1254
296	528	1250
297	531	1251
298	533	1250
299	534	1247
300	536	1246
301	566	1309
302	567	1306
303	568	1302
304	573	1306
305	574	1302
306	575	1298
307	575	1294
308	576	1289
309	581	1293
310	582	1291
311	584	1287
312	585	1285
313	592	1293
314	619	1346
315	620	1343
316	621	1338
317	622	1334
318	623	1330
319	624	1326
320	627	1327
321	628	1323
322	629	1320
323	631	1317
324	632	1313
325	633	1309
326	634	1304
327	643	1319
328	644	1314
329	645	1310
330	645	1305
331	646	1300
332	647	1297
333	648	1293
334	649	1289
335	650	1284
336	650	1280
337	651	1275
338	652	1272
339	653	1268
340	654	1264
341	655	1260
342	655	1256
343	659	1257
344	660	1253
345	661	1249
346	662	1246
347	666	1248
348	667	1245
349	668	1241
350	669	1237
351	670	1233
352	672	1232
353	673	1228
354	673	1224
355	675	1221
356	676	1217
357	677	1214
358	677	1210
359	678	1205
360	682	1208
361	683	1204
362	684	1200
363	684	1196
364	688	1198
365	689	1194
366	690	1190
367	691	1187
368	693	1186
369	694	1182
370	696	1180
371	697	1176
372	697	1172
373	698	1169
374	712	1186
375	712	1183
376	713	1179
377	716	1179
378	749	1228
379	750	1224
380	751	1220
381	751	1216
382	752	1212
383	753	1208
384	754	1204
385	754	1200
386	755	1197
387	757	1194
388	758	1191
389	759	1188
390	760	1184
391	798	1238
392	799	1234
393	800	1230
394	800	1226
395	801	1222
396	802	1218
397	802	1214
398	803	1210
